row_grain,state,msa_id,msa_cbsa_name,carrier_plan_name,billing_class,setting_type,pos,presence_status,total_weighted_rate_base,total_weighted_rate_new,delta_total_weighted_rate,pct_change_total_weighted_rate,pct_carrier_mrf_spend_base,pct_carrier_mrf_spend_new,delta_pct_carrier_mrf,pct_hospital_mrf_spend_base,pct_hospital_mrf_spend_new,delta_pct_hospital_mrf,pct_imputed_spend_base,pct_imputed_spend_new,delta_pct_imputed,pct_greenyellow_base,pct_greenyellow_new,delta_pct_greenyellow,pct_red_base,pct_red_new,delta_pct_red,pct_missing_base,pct_missing_new,delta_pct_missing,spend_ratio_vs_bcbs_base,spend_ratio_vs_bcbs_new,delta_spend_ratio_vs_bcbs,n_rates_greenyellow_base,n_rates_greenyellow_new,n_msas_base,n_msas_new,n_states_in_msa_base,n_states_in_msa_new,is_multistate_msa_base,is_multistate_msa_new,is_multistate_msa,n_states_in_msa,review_label_base,review_label_new,supplementary_label_base,supplementary_label_new,label_changed,label_transition,flag_needs_review_base,flag_needs_review_new,flag_canonical_count_base,flag_canonical_count_new,review_direction,flag_big_spend_swing,flag_stoplight_swing,flag_source_swing,flag_label_changed,flag_appeared,flag_disappeared,flag_changed_any
MSA,WI,44620,"Stevens Point-Plover, WI",Cigna OAP,institutional,inpatient,Inpatient,BOTH,1384239,1443767,59528,4.3,0,0,0,3.98,0,-3.98,96.02,100,3.98,3.98,0,-3.98,0,0,0,96.02,100,3.98,1.0579,1.0352,-0.0227,3,0,1,1,1,1,false,false,false,1,"Low Carrier MRF, Low Hospital MRF, High Missing","Low Carrier MRF, Low Hospital MRF, High Missing",Sparse Sample,Sparse Sample,0,,1,1,3,3,stable,0,0,0,0,0,0,0
MSA,WI,44620,"Stevens Point-Plover, WI",UHC Choice POS Plus,institutional,inpatient,Inpatient,BOTH,1353029,1448481,95452,7.05,62.45,88.6,26.15,28.32,0,-28.32,9.23,11.4,2.17,90.77,88.6,-2.17,7.54,8.36,0.82,1.69,3.04,1.35,1.0341,1.0386,0.0045,1219,1701,1,1,1,1,false,false,false,1,clean,Low Hospital MRF,clean,clean,1,clean  ->  Low Hospital MRF,0,1,0,1,regressed,0,0,1,1,0,0,1
MSA,WI,44620,"Stevens Point-Plover, WI",Aetna Choice POS,institutional,outpatient,Outpatient,BOTH,2338977,2327741,-11236,-0.48,28.44,35.98,7.54,0,0,0,71.56,64.02,-7.54,28.44,35.98,7.54,22.39,24.17,1.78,49.17,39.84,-9.33,0.9819,1.0121,0.0302,266,414,1,1,1,1,false,false,false,1,"Low Hospital MRF, High Red","Low Hospital MRF, High Red",clean,clean,0,,1,1,2,2,stable,0,0,0,0,0,0,0
MSA,WI,44620,"Stevens Point-Plover, WI",BCBS PPO,institutional,outpatient,Outpatient,BOTH,2382098,2299903,-82195,-3.45,26.23,25.37,-0.86,12.88,0,-12.88,60.89,74.63,13.74,39.11,25.37,-13.74,38.55,51.81,13.26,22.34,22.82,0.48,1,1,0,2551,3132,1,1,1,1,false,false,false,1,High Red,"Low Hospital MRF, High Red",clean,clean,1,"High Red  ->  Low Hospital MRF, High Red",1,1,1,2,regressed,0,1,1,1,0,0,1
MSA,WI,44620,"Stevens Point-Plover, WI",Cigna OAP,institutional,outpatient,Outpatient,BOTH,2266604,2309573,42969,1.9,0.27,0.27,0,17.8,0,-17.8,81.93,99.73,17.8,18.07,0.27,-17.8,4.74,1.87,-2.87,77.19,97.86,20.67,0.9515,1.0042,0.0527,187,9,1,1,1,1,false,false,false,1,"Low Carrier MRF, High Missing","Low Carrier MRF, Low Hospital MRF, High Missing",clean,Sparse Sample,1,"Low Carrier MRF, High Missing  ->  Low Carrier MRF, Low Hospital MRF, High Missing",1,1,2,3,regressed,0,1,1,1,0,0,1
MSA,WI,44620,"Stevens Point-Plover, WI",UHC Choice POS Plus,institutional,outpatient,Outpatient,BOTH,2315098,2276751,-38347,-1.66,13.66,11.75,-1.91,0.2,0,-0.2,86.14,88.25,2.11,13.86,11.75,-2.11,6.35,7.32,0.97,79.79,80.93,1.14,0.9719,0.9899,0.018,1774,1750,1,1,1,1,false,false,false,1,"Low Carrier MRF, Low Hospital MRF, High Missing","Low Carrier MRF, Low Hospital MRF, High Missing",clean,clean,0,,1,1,3,3,stable,0,0,0,0,0,0,0
MSA,WI,44620,"Stevens Point-Plover, WI",Aetna Choice POS,professional,outpatient,Professional,BOTH,3286465,3725457,438992,13.36,48.64,66.34,17.7,0,0,0,51.36,33.66,-17.7,48.64,66.34,17.7,10.86,16.89,6.03,40.5,16.76,-23.74,1.0076,1.1233,0.1157,42353,238115,1,1,1,1,false,false,false,1,clean,clean,clean,Off vs BCBS,0,,0,1,0,0,still_clean,1,1,1,0,0,0,1
MSA,WI,44620,"Stevens Point-Plover, WI",BCBS PPO,professional,outpatient,Professional,BOTH,3261792,3316526,54734,1.68,77.32,73.34,-3.98,0,0,0,22.68,26.66,3.98,77.32,73.34,-3.98,13.28,16.87,3.59,9.4,9.79,0.39,1,1,0,144255,168779,1,1,1,1,false,false,false,1,clean,clean,clean,clean,0,,0,0,0,0,still_clean,0,0,0,0,0,0,0
MSA,WI,44620,"Stevens Point-Plover, WI",Cigna OAP,professional,outpatient,Professional,BOTH,3242906,3398983,156077,4.81,19.54,14.08,-5.46,0,0,0,80.46,85.92,5.46,19.54,14.08,-5.46,14.1,7.9,-6.2,66.37,78.02,11.65,0.9942,1.0249,0.0307,8716,10231,1,1,1,1,false,false,false,1,"Low Carrier MRF, High Missing","Low Carrier MRF, High Missing",clean,clean,0,,1,1,2,2,stable,0,1,0,0,0,0,1
MSA,WI,44620,"Stevens Point-Plover, WI",UHC Choice POS Plus,professional,outpatient,Professional,BOTH,3384593,3542159,157566,4.66,58.62,63.65,5.03,0,0,0,41.38,36.35,-5.03,58.62,63.65,5.03,14.59,14.66,0.07,26.79,21.69,-5.1,1.0376,1.068,0.0304,56310,106128,1,1,1,1,false,false,false,1,clean,clean,clean,clean,0,,0,0,0,0,still_clean,0,0,0,0,0,0,0
MSA,WI,48020,"Watertown-Fort Atkinson, WI",Aetna Choice POS,TOTAL,TOTAL,All,BOTH,6204086,6612160,408074,6.58,33.15,46.19,13.04,0.27,0.45,0.18,66.58,53.35,-13.23,33.42,46.65,13.23,20.34,13.52,-6.82,46.24,39.84,-6.4,0.992,1.0055,0.0135,90332,189354,1,1,1,1,false,false,false,1,"Low Hospital MRF, High Red",Low Hospital MRF,clean,clean,1,"Low Hospital MRF, High Red  ->  Low Hospital MRF",1,1,2,1,improved,0,1,1,1,0,0,1
MSA,WI,48020,"Watertown-Fort Atkinson, WI",BCBS PPO,TOTAL,TOTAL,All,BOTH,6254277,6576009,321732,5.14,50.83,61.57,10.74,1.06,0.46,-0.6,48.1,37.97,-10.13,51.9,62.03,10.13,31.33,24.5,-6.83,16.77,13.46,-3.31,1,1,0,100106,121635,1,1,1,1,false,false,false,1,"Low Hospital MRF, High Red","Low Hospital MRF, High Red",clean,clean,0,,1,1,2,2,stable,0,1,1,0,0,0,1
